Employee_ID,Name,Gender,Age,Department,Salary,Hire_Date,Last_Review,Performance_Score,Sick_Days,Left_Company
1044,Kimberly Gregory,M,58,Finance,56708,2019-03-25,2025-05-16,3.9,13,No
1045,Ashley Williams,F,25,Marketing,46760,2018-02-14,2025-05-16,3.5,4,No
1046,Morgan Kaufman,F,50,Marketing,46830,2015-06-30,2025-05-16,4.4,7,Yes
1047,Tina Walter,M,60,HR,57695,2018-05-03,2025-05-16,3.8,5,Yes
1048,Christie Martin,M,41,Sales,56095,2022-03-15,2025-05-16,4.3,6,No
1049,Lisa Bailey,F,60,Sales,68461,2019-01-23,2025-05-16,3.8,5,Yes
1050,Jodi Jones,M,33,Marketing,33850,2020-09-02,2025-05-16,3.4,9,No
1051,Paul Alvarez,F,27,Marketing,45566,2024-03-07,2025-05-16,4.6,1,No
1052,Alyssa Hernandez,M,22,HR,67325,2018-09-20,2025-05-16,3.1,13,No
1053,Ricky Middleton,M,55,IT,57470,2020-02-22,2025-05-16,3.6,1,No
1054,Julie Garcia,F,38,Finance,30686,2022-11-30,2025-05-16,4.7,2,No
1055,Christopher Tyler,F,46,Marketing,67679,2015-11-20,2025-05-16,4.2,0,No
1056,Mitchell Dunn,M,33,HR,61710,2017-06-06,2025-05-16,3.6,10,No
1057,Sheri Bush,F,53,HR,31835,2022-01-24,2025-05-16,4.2,14,No
1058,Catherine Walton,M,54,HR,38180,2019-07-03,2025-05-16,4.9,3,Yes
1059,Amy Hamilton,M,54,Sales,34493,2020-06-23,2025-05-16,4.1,8,No
1060,Marcus Reynolds,M,45,Finance,38324,2016-01-28,2025-05-16,4.3,12,Yes
1061,Jordan Flores,M,27,Marketing,53748,2016-07-01,2025-05-16,3.4,13,No
1062,Mary Thomas,F,39,Sales,51400,2017-07-18,2025-05-16,3.9,5,No
1063,Richard Duran,F,46,Marketing,68062,2019-06-20,2025-05-16,3.8,7,No
1064,Brian Schwartz,F,33,Marketing,46410,2022-04-11,2025-05-16,4.8,8,No
1065,Brad Fischer,M,50,Sales,31586,2015-08-28,2025-05-16,2.7,6,Yes
1066,Rachel Nguyen,F,25,Finance,49674,2020-01-28,2025-05-16,2.5,6,No
1067,Peter Sullivan MD,M,24,HR,48388,2017-07-30,2025-05-16,4.4,2,Yes
1068,Rebecca Carroll,F,22,Sales,37740,2023-05-08,2025-05-16,2.6,14,No
1069,Michael Allen,F,33,IT,30857,2020-09-14,2025-05-16,4.7,2,No
1070,Stephanie Kane,F,47,HR,50416,2019-10-12,2025-05-16,3.4,11,No
1071,Julie Morgan,F,28,Finance,58060,2023-10-24,2025-05-16,4.3,7,No
1072,John Castro,M,53,Sales,43211,2016-04-17,2025-05-16,2.7,11,No
1073,Kimberly Rodriguez,F,31,Finance,45555,2018-10-20,2025-05-16,4.2,6,No
1074,Jonathan Gomez,F,42,IT,41814,2016-11-14,2025-05-16,4.4,6,No
1075,Taylor Vega,F,30,Marketing,62988,2018-04-24,2025-05-16,3.8,10,No
1076,Tyrone Williams,M,31,HR,56472,2020-05-07,2025-05-16,3.1,0,No
1077,Todd Snyder,M,56,HR,57326,2015-11-18,2025-05-16,3.9,13,Yes
1078,Mark Riley,F,32,Marketing,52245,2016-06-06,2025-05-16,4.0,10,No
1079,Karen Holt,M,58,IT,65357,2016-04-20,2025-05-16,3.6,2,No
1080,James Gibson,F,33,Sales,33753,2017-12-10,2025-05-16,2.7,11,No
1081,Timothy Ferguson,M,22,IT,56802,2021-11-15,2025-05-16,2.7,14,Yes
1082,Michael Farrell,M,23,Finance,34646,2017-04-08,2025-05-16,4.4,1,No
1083,Diana Pollard,M,60,Finance,40206,2016-10-27,2025-05-16,3.8,13,No
1084,Sarah Conrad,F,43,HR,62578,2021-06-26,2025-05-16,4.4,10,No
1085,Heather Smith,M,32,Sales,58698,2018-08-09,2025-05-16,3.5,2,No
1086,Nicole Sweeney,F,34,IT,48180,2021-12-22,2025-05-16,4.7,0,No
1087,Chelsey Ramirez,F,31,IT,52170,2022-12-01,2025-05-16,5.0,4,No
1088,Robert Rogers,F,50,Sales,54652,2021-11-25,2025-05-16,2.8,5,No
1089,William Wallace,M,22,Finance,52210,2016-01-12,2025-05-16,4.5,11,No
1090,Jackie Smith,M,44,HR,35255,2021-01-18,2025-05-16,4.3,10,Yes
1091,Ashley Evans,M,59,Finance,39491,2020-11-30,2025-05-16,4.9,12,No
1092,Shannon Smith,F,52,Finance,55343,2020-11-27,2025-05-16,4.5,7,No
1093,Sherry Mitchell,M,46,Sales,54896,2020-09-20,2025-05-16,4.0,11,No
1094,Stephanie Warren,F,42,Sales,64974,2023-04-23,2025-05-16,2.6,12,Yes
1095,Melvin Garcia,M,48,Finance,45430,2016-09-01,2025-05-16,3.0,1,No
1096,Zachary Bass,M,33,Sales,48694,2017-06-25,2025-05-16,5.0,9,No
1097,Steven White,F,49,Finance,36273,2020-03-15,2025-05-16,2.9,2,Yes
1098,Bryan Rice,F,50,Finance,49431,2022-08-12,2025-05-16,4.5,0,No
1099,Randall Horne,F,42,Sales,60335,2020-01-01,2025-05-16,3.5,15,No
1100,Tiffany Arnold,M,49,HR,60213,2020-02-21,2025-05-16,2.7,5,No
